"0101"	"Live horses"
"0102"	"Live cows"
"0103"	"Live swine"
"0104"	"Live sheep and goats"
"0105"	"Live poultry"
"0202"	"Beef"
"0203"	"Pork"
"0204"	"Sheep Meat"
"0301"	"Live fish"
"0406"	"Cheese and curd"
"0405"	"Butter"
"0403"	"Buttermilk, curdled milk and cream, yogurt"
"0306"	"Crustaceans"
"0701"	"Potatoes"
"0702"	"Tomatoes"
"0703"	"Onions, shallots, garlic"
"0705"	"Lettuce"
"0501"	"Human hair"
"0507"	"Ivory"
"0706"	"Carrots"
"0707"	"Cucumbers"
"0710"	"Vegetables"
"0712"	"Dried vegetables"
"0801"	"Coconuts"
"0802"	"Nuts"
"0409"	"Natural honey."
"0803"	"Bananas"
"0804"	"Dates"
"0805"	"Citrus fruit"
"0806"	"Grapes"
"0807"	"Melons"
"0808"	"Apples"
"0809"	"Apricots"
"0810"	"Other fruit"
"0901"	"Coffee"
"0902"	"Tea"
"0903"	"Maté."
"0905"	"Vanilla"
"0907"	"Cloves"
"0908"	"Nutmeg"
"1001"	"Wheat"
"1002"	"Rye"
"1006"	"Rice"
"1004"	"Oats"
"1003"	"Barley"
"1005"	"Maize"
"1008"	"Buckwheat"
"1102"	"Cereal flours"
"1105"	"Flour"
"1108"	"Starches"
"1203"	"Copra"
"1206"	"Sunflower seeds"
"1209"	"Seeds"
"1302"	"Vegetable saps"
"1501"	"Pig fat"
"1507"	"Soya-bean oil"
"1509"	"Olive oil"
"1511"	"Palm oil"
"1601"	"Sausages"
"1602"	"Preserved meat"
"1604"	"Preserved fish"
"1701"	"Cane sugar"
"1702"	"Other sugars"
"1703"	"Molasses"
"1704"	"Sugar confectionery"
"1801"	"Cocoa beans"
"1802"	"Cocoa shells"
"1803"	"Cocoa paste"
"1804"	"Cocoa butter"
"1805"	"Cocoa powder"
"1901"	"Malt extract"
"1902"	"Pasta"
"1905"	"Bread"
"2003"	"Mushrooms and Truffles"
"2007"	"Jams"
"2009"	"Fruit juices"
"2102"	"Yeasts'
"2103"	"Sauces"
"2105"	"Ice cream"
"2201"	"Waters"
"2203"	"Beer"
"2204"	"Wine"
"2208"	"Hard liquor"
"2401"	"Unmanufactured tobacco"
"2402"	"Cigars"
"2501"	"Salt"
"2504"	"Natural graphite"
"2505"	"Natural sands"
"2506"	"Quartz"
"2507"	"Kaolin and other kaolinic clays"
"2509"	"Chalk"
"2510"	"Natural calcium phosphates"
"2511"	"Natural barium sulphate (barytes); natural barium carbonate (witherite), whether or not calcined, other than barium oxide of heading 28.16."
"2512"	"Siliceous fossil meals (for example, kieselguhr, tripolite and diatomite) and similar siliceous earths, whether or not calcined, of an apparent specific gravity of 1 or less."
"2514"	"Slate, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape."
"2515"	"Marble, travertine, ecaussine and other calcareous monumental or building stone of an apparent specific gravity of 2.5 or more, and alabaster, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (inc"
"2516"	"Granite, porphyry, basalt, sandstone and other monumental or building stone, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape."
"2517"	"Pebbles, gravel, broken or crushed stone, of a kind commonly used for concrete aggregates, for road metalling or for railway or other ballast, shingle and flint, whether or not heat-treated; macadam of slag, dross or similar industrial waste, whether or n"
"2520"	"Gypsum; anhydrite; plasters (consisting of calcined gypsum or calcium sulphate) whether or not coloured, with or without small quantities of accelerators or retarders."
"2522"	"Quicklime, slaked lime and hydraulic lime, other than calcium oxide and hydroxide of heading 28.25."
"2523"	"Portland cement, aluminous cement, slag cement, supersulphate cement and similar hydraulic cements, whether or not coloured or in the form of clinkers."
"2524"	"Asbestos."
"2601"	"Iron ores and concentrates, including roasted iron pyrites."
"2602"	"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20 % or more, calculated on the dry weight."
"2603"	"Copper ores and concentrates."
"2604"	"Nickel ores and concentrates."
"2605"	"Cobalt ores and concentrates."
"2606"	"Aluminium ores and concentrates."
"2607"	"Lead ores and concentrates."
"2608"	"Zinc ores and concentrates."
"2609"	"Tin ores and concentrates."
"2610"	"Chromium ores and concentrates."
"2611"	"Tungsten ores and concentrates."
"2612"	"Uranium or thorium ores and concentrates"
"2614"	"Titanium ores and concentrates."
"2616"	"Precious metal ores and concentrates."
"2701"	"Coal; briquettes, ovoids and similar solid fuels manufactured from coal."
"2705"	"Coal gas, water gas, producer gas and similar gases, other than petroleum gases and other gaseous hydrocarbons"
"2709"	"Petroleum oils and oils obtained from bituminous minerals, crude."
"2710"	"Petroleum oils and oils obtained from bituminous minerals, other than crude; preparations not elsewhere specified or included, containing by weight 70 % or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic con"
"2712"	"Petroleum jelly; paraffin wax, micro-crystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, other mineral waxes, and similar products obtained by synthesis or by other processes, whether or not coloured."
"2801"	"Fluorine, chlorine, bromine and iodine."
"2804"	"Hydrogen, rare gases and other non-metals."
"2806"	"Hydrogen chloride (hydrochloric acid); chlorosulphuric acid."
"2807"	"Sulphuric acid; oleum."
"2808"	"Nitric acid; sulphonitric acids."
"2814"	"Ammonia, anhydrous or in aqueous solution."
"2844"	"Radioactive chemical elements and radioactive isotopes (including the fissile or fertile chemical elements and isotopes) and their compounds; mixtures and residues containing these products."
"3001"	"Glands and other organs for organo-therapeutic uses, dried, whether or not powdered; extracts of glands or other organs or of their secretions for organo-therapeutic uses; heparin and its salts; other human or animal substances prepared for therapeutic or"
"3002"	"Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera and other blood fractions and modified immunological products, whether or not obtained by means of biotechnological processes; vaccines, toxins, cultures of micr"
"3003"	"Medicaments (excluding goods of heading 30.02, 30.05 or 30.06) consisting of two or more constituents which have been mixed together for therapeutic or prophylactic uses, not put up in measured doses or in forms or packings for retail sale."
